"teaser","image_href","author","author_href","teaser_2","image_src"
"श्रीलंकाको अर्थतन्त्र : सुधार अझै सुस्त","https://ekantipur.com/world/2023/07/11/168904196630368450.html","एजेन्सी","https://ekantipur.com/author/author-8952","श्रीलंकामा आर्थिक संकटका कारण जनताको व्यापक प्रदर्शन र सत्ता परिवर्तन भएको एक वर्ष पुगेको छ । यसबीचमा पहिलोजस्तो इन्धनका लागि लामो लाइन हटेको छ भने घण्टौं लोडसेडिङबाट श्रीलंकाली जनता मुक्त भएका छन् । श्रीलंकाको केन्द्रीय बैंकका अनुसार बढ्दो रेमिट्यान्स र पर्यटक संख्याका कारण यस त्रैमासिकमा अर्थतन्त्र तीव्र रूपमा बढ्ने अपेक्षा गरिएको छ ।","https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/third-party/srilanka-free-photo-1172023041658-1000x0.jpg&w=300&h=0"
"उत्तर भारतमा बाढीपहिरोमा परी २९ जनाको मृत्यु","https://ekantipur.com/world/2023/07/11/168904173568949924.html","रासस/एएफपी","https://ekantipur.com/author/author-10623","उत्तरी भारतमा भीषण वर्षासँगै आएको बाढीपहिरोमा परी कम्तीमा २९ जनाको मृत्यु भएको छ भने कैयौं घाइते भएका छन् । बाढीपहिरोका कारण पुलपुलेसा भत्किँदा र सडक अवरुद्ध हुँदा धेरै क्षेत्रमा पुग्न कठिनाइ भएको सरकारी अधिकारीहरूले बताएका छन् ।","https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/third-party/india-flood-himachal-1172023041743-1000x0.jpg&w=300&h=0"
"चीनको किन्डरगार्टनमा छुरा प्रहार : बालबालिकासहित ६ जनाको मृत्यु","https://ekantipur.com/world/2023/07/10/168897159985578202.html","कान्तिपुर संवाददाता","https://ekantipur.com/author/author-14301","चीनको एक किन्डरगार्टनमा अन्धाधुन्ध छुरा प्रहार हुँदा ३ बालबालिकासहित ६ जनाको मृत्यु भएको छ । दक्षिणपूर्वी प्रान्त गुआङडोङको एक किन्डरगार्टनमा भएको उक्त घटनापछि प्रहरीले २५ वर्षीय एक पुरुषलाई पक्राउ गरेको अन्तर्राष्ट्रिय सञ्चारमाध्यमहरुले जनाएका छन् ।","https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/third-party/china-kinderg-1072023090754-1000x0.jpg&w=300&h=0"
"आजकै दिन : रुसी राष्ट्रपतिमा यल्तसिन","https://ekantipur.com/world/2023/07/10/168895609062173994.html","कान्तिपुर संवाददाता","https://ekantipur.com/author/author-14301","सन् १९९१ मा आजकै दिन (जुलाई १०) मा बोरिस यल्तसिनले रुसको पहिलो राष्ट्रपतिका रुपमा कार्यभार सुरु गरेका थिए । रुसमा १९९१ को मार्च १७ मा भएको जनमतसंग्रहले राष्ट्रपति पदको व्यवस्था गरेको थियो ।","https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/third-party/ajakai-din-1072023042749-1000x0.jpg&w=300&h=0"
"वर्षासँगै आएको बाढीले हिमाचल प्रभावित","https://ekantipur.com/world/2023/07/10/168895260693696751.html","एजेन्सी","https://ekantipur.com/author/author-8952","पछिल्लो दुई दिनयतादेखि परिरहेको भारी वर्षाका कारण भारतका उत्तर–पश्चिम क्षेत्रमा आएको बाढीले त्यहाँको जनजीवन प्रभावित बनेको छ । आइतबार साँझसम्म कम्तीमा ५ जनाको ज्यान गएको स्थानीय सञ्चारमाध्यमहरूले जनाएका छन् ।","https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/third-party/himachal-flood-1072023033056-1000x0.jpg&w=300&h=0"
"सुडानको ओमडरमानमा हवाई हमला, २२ जनाको मृत्यु","https://ekantipur.com/world/2023/07/09/16888689456081175.html","एजेन्सी","https://ekantipur.com/author/author-8952","सुडानको ओमडरमान सहरमा हवाई आक्रमण हुँदा कम्तीमा २२ जना मारिएका छन् । यसलाई सुडानको सेना र विद्रोही अर्धसैनिक बलबीच केही सातायताकै सबैभन्दा घातक हमला भनिएको छ ।","https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/third-party/capture-0972023041457-1000x0.jpg&w=300&h=0"
"युक्रेन युद्धको ५ सय दिनमा ९ हजार सर्वसाधारण मारिए","https://ekantipur.com/world/2023/07/08/16888183630979564.html","एजेन्सी","https://ekantipur.com/author/author-8952","युक्रेन युद्धको ५ सय दिन पूरा भइसक्दा हालसम्म ९ हजारभन्दा धेरै आम नागरिक मारिएका छन् । जसमध्ये ५ सय बालबालिका छन् ।","https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/third-party/ukraine1-2422023073923-1000x0.jpg&w=300&h=0"
"ज्याक माको कम्पनीलाई झन्डै एक अर्ब अमेरिकी डलर जरिवाना","https://ekantipur.com/world/2023/07/08/168879670870063694.html","कान्तिपुर संवाददाता","https://ekantipur.com/author/author-14301","चीनको वित्तीय नियमनकारी निकायहरूले चिनियाँ अर्बपति ज्याक माको कम्पनी एन्ट ग्रुपलाई विभिन्न वित्तीय कानुन र निर्देशिकाहरूको पालना नगरेको भन्दै साढे सात अर्ब युआन अर्थात् लगभग एक अर्ब अमेरिकी डलर जरिवाना तिराउने भएका छन् ।","https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/third-party/jack-ma-2862023032058-1000x0.jpg&w=300&h=0"
"आप्रवासी नीतिमा सहमति नजुट्दा ढल्यो डच सरकार","https://ekantipur.com/world/2023/07/08/168879561598832979.html","कान्तिपुर संवाददाता","https://ekantipur.com/author/author-14301","सत्तारुढ दलबीच आप्रवासी नीतिमा सहमति नजुट्दा नेदरल्यान्ड्समा सरकार ढलेको छ । सत्तारुढ ४ दलबीच शरणार्थीसम्बन्धी सहमति नजुट्दा प्रधानमन्त्री मार्क रुटले राजीनामा दिएका हुन् । मार्क रुटले करिब डेढ वर्षअघि सरकार गठन गरेका थिए । तर गठबन्धन दलमा आप्रवासी नीतिलाई लिएर मतभेद थियो ।","https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/third-party/mark-rutte-0872023075302-1000x0.jpg&w=300&h=0"
"मोदी थर प्रकरण : गुजरात उच्च अदालतद्वारा राहुल गान्धीको पुनरावेदन खारेज","https://ekantipur.com/world/2023/07/07/168871528547938182.html","कान्तिपुर संवाददाता","https://ekantipur.com/author/author-14301","भारतको गुजरात उच्च अदालतले कांग्रेस नेता राहुल गान्धीको पुनरावेदन खारेज गरिदिएको छ । शुक्रबार गुजरात उच्च अदालतले मानहानि मुद्दामा गान्धीको पुनरावेदन खारेज गरिदिएको हो ।","https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/third-party/rahul-0772023093412-1000x0.jpg&w=300&h=0"
"आजकै दिन : भारतमा फिल्म प्रदर्शन","https://ekantipur.com/world/2023/07/07/16886938024967936.html","कान्तिपुर संवाददाता","https://ekantipur.com/author/author-14301","सन् १८९६ मा आजकै दिन (जुलाई ७) मा भारतको मुम्बईस्थित वाट्सन होटलमा (तत्कालीन बम्बई) पहिलो पटक फिल्म प्रदर्शन गरिएको थियो । फ्रेन्च छायांकार लुमियर ब्रदर्सले आफूहरूले खिचेका छवटा भिडियो फुटेजलाई जोडेर तयार पारिएको फिल्मलाई प्रोजेक्टरको सहायताले फिल्म देखाएको सोही दिनलाई नै भारतीय सिनेमाको सुरुवात मानिन्छ ।","https://assets-cdn-api.kantipurdaily.com/thumb.php?src=https://assets-cdn.kantipurdaily.com/uploads/source/news/kantipur/2023/third-party/india-film-0772023033609-1000x0.jpg&w=300&h=0"
